iter	Logloss
0	0.6702590446
1	0.6482279833
2	0.6284558357
3	0.6096817648
4	0.5918255435
5	0.57355111
6	0.5561919233
7	0.539518433
8	0.5243460366
9	0.5091439558
10	0.4952543029
11	0.4831950564
12	0.467030708
13	0.451467183
14	0.4376421845
15	0.4318634403
16	0.4185738313
17	0.4071133549
18	0.3952262509
19	0.3844617079
20	0.3750327562
21	0.3672620397
22	0.3581739977
23	0.3531904466
24	0.345534667
25	0.338172611
26	0.3317619927
27	0.3256468462
28	0.3216468834
29	0.3154343658
30	0.308869138
31	0.3035770352
32	0.2973779275
33	0.2920644399
34	0.2879857184
35	0.2833764713
36	0.2822892885
37	0.2778789708
38	0.2735375298
39	0.270780999
40	0.2671526908
41	0.2647247903
42	0.2620778648
43	0.2592045625
44	0.2558424604
45	0.2532291943
46	0.2506068248
47	0.247806122
48	0.2454742507
49	0.2432082954
50	0.2405543381
51	0.2382604022
52	0.2363459543
53	0.2351535535
54	0.2334389867
55	0.2319367083
56	0.2301300469
57	0.2283921134
58	0.226453424
59	0.2248155748
60	0.2232968265
61	0.2214345549
62	0.2209512093
63	0.219591708
64	0.2180295462
65	0.216316942
66	0.2161236118
67	0.2148208639
68	0.2139739402
69	0.2130523678
70	0.2117769473
71	0.2110257733
72	0.2104867699
73	0.2095943801
74	0.2086577824
75	0.2075936441
76	0.2067893283
77	0.2060663599
78	0.2053029765
79	0.2046483288
80	0.2039720617
81	0.2033298079
82	0.2028768845
83	0.2022278849
84	0.2015915103
85	0.2011255516
86	0.2004221568
87	0.199769519
88	0.1992055935
89	0.1984522824
90	0.1977324728
91	0.1973981374
92	0.1968859503
93	0.1963910035
94	0.1957252947
95	0.1952118689
96	0.1947458619
97	0.1941672061
98	0.1937067079
99	0.1933445605
100	0.1931200578
101	0.1926751609
102	0.1924014277
103	0.1923639266
104	0.1920814603
105	0.1916729248
106	0.1916485479
107	0.1912118861
108	0.1909124449
109	0.1904237787
110	0.1899201271
111	0.1895786561
112	0.1893269364
113	0.1889205308
114	0.1886681485
115	0.1883735435
116	0.1881166946
117	0.1878528232
118	0.1874663608
119	0.187280093
120	0.1871949546
121	0.1870369172
122	0.186653532
123	0.1861545047
124	0.1858903673
125	0.1857153103
126	0.1855222528
127	0.1853497068
128	0.1850020233
129	0.184688951
130	0.1844132483
131	0.1842572665
132	0.1840150169
133	0.1838072089
134	0.183647588
135	0.1834656452
136	0.1832800148
137	0.1831277303
138	0.1831231234
139	0.1828191967
140	0.1826011494
141	0.1824719263
142	0.182408296
143	0.1822134291
144	0.1820388829
145	0.1818420736
146	0.1818392021
147	0.181639148
148	0.1815178653
149	0.1813753886
150	0.1811961811
151	0.1810277821
152	0.1809715254
153	0.1808589505
154	0.1806537453
155	0.1804512402
156	0.1802394061
157	0.1801288723
158	0.1800650602
159	0.1798586051
160	0.1796952052
161	0.1794483826
162	0.1793571727
163	0.1791790283
164	0.1791322732
165	0.1789968083
166	0.1788139315
167	0.1787412761
168	0.1784963968
169	0.1783529632
170	0.1782376967
171	0.1780746319
172	0.1779401798
173	0.1778581687
174	0.1777061105
175	0.1776059001
176	0.1775144457
177	0.17740283
178	0.1772958983
179	0.1772204945
180	0.1771543364
181	0.1769723995
182	0.1768407976
183	0.1767548834
184	0.176616959
185	0.1765875812
186	0.1764421492
187	0.1763165523
188	0.1762059801
189	0.176088778
190	0.1758948978
191	0.1758022595
192	0.1757986752
193	0.1757042204
194	0.1756905071
195	0.1755719356
196	0.1754843356
197	0.1754746816
198	0.1753321002
