iter	Passed	Remaining
0	109	549160
1	189	473529
2	249	415664
3	282	353246
4	362	361683
5	438	364860
6	487	347819
7	547	341370
8	597	331160
9	665	332216
10	713	323578
11	752	312831
12	808	310273
13	862	307085
14	936	311355
15	959	298869
16	1015	297706
17	1056	292344
18	1098	288057
19	1162	289565
20	1214	287998
21	1280	289635
22	1363	294965
23	1444	299552
24	1523	303210
25	1582	302827
26	1643	302690
27	1698	301669
28	1718	294637
29	1769	293127
30	1829	293255
31	1901	295181
32	1987	299173
33	2058	300632
34	2122	301144
35	2188	301779
36	2202	295377
37	2261	295365
38	2325	295766
39	2373	294339
40	2428	293671
41	2497	294829
42	2553	294405
43	2611	294187
44	2674	294518
45	2726	293683
46	2780	293021
47	2837	292709
48	2884	291407
49	2947	291808
50	3000	291197
51	3136	298437
52	3266	304916
53	3330	305016
54	3405	306216
55	3489	308048
56	3557	308510
57	3629	309232
58	3882	325130
59	3989	328450
60	4062	328947
61	4132	329143
62	4163	326234
63	4217	325289
64	4263	323717
65	4323	323206
66	4336	319287
67	4405	319517
68	4500	321615
69	4557	320990
70	4624	321043
71	4667	319479
72	4721	318699
73	4788	318740
74	4857	318973
75	4912	318310
76	4977	318262
77	5060	319324
78	5117	318804
79	5191	319284
80	5258	319370
81	5316	318886
82	5349	316921
83	5406	316417
84	5476	316648
85	5593	319583
86	5668	320096
87	5735	320171
88	5808	320489
89	5883	321003
90	5970	322079
91	6063	323488
92	6359	335553
93	6466	337482
94	6525	336944
95	6611	337749
96	6674	337371
97	6756	337970
98	6847	338975
99	6925	339329
100	6967	337978
101	7076	339817
102	7148	339846
103	7167	337411
104	7242	337619
105	7316	337810
106	7330	335225
107	7402	335288
108	7486	335925
109	7560	336099
110	7630	336088
111	7700	336052
112	7781	336553
113	7863	337022
114	7950	337712
115	8032	338209
116	8117	338791
117	8179	338426
118	8249	338366
119	8306	337779
120	8344	336470
121	8391	335518
122	8467	335750
123	8530	335451
124	8596	335246
125	8658	334934
126	8716	334433
127	8758	333389
128	8822	333147
129	8894	333209
130	8964	333197
131	9036	333245
132	9113	333499
133	9188	333648
134	9250	333357
135	9326	333572
136	9454	335607
137	9576	337399
138	9612	336159
139	9721	337480
140	9798	337659
141	9887	338247
142	9929	337267
143	9990	336910
144	10074	337325
145	10152	337533
146	10166	335617
147	10229	335376
148	10303	335464
149	10385	335808
150	10483	336650
151	10535	336028
152	10596	335683
153	10682	336145
154	10760	336341
155	10849	336880
156	10930	337184
157	10996	336984
158	11026	335705
159	11118	336341
160	11181	336062
161	11259	336263
162	11337	336437
163	11401	336201
164	11495	336859
165	11644	339085
166	11725	339324
167	11764	338371
168	11838	338403
169	11898	338066
170	11961	337789
171	12027	337601
172	12105	337759
173	12156	337179
174	12224	337036
175	12297	337057
176	12373	337164
177	12469	337809
178	12551	338039
179	12630	338228
180	12706	338295
181	12779	338303
182	12846	338151
183	12906	337806
184	12980	337836
185	13020	337001
186	13086	336826
187	13160	336846
188	13226	336692
189	13302	336758
190	13374	336740
191	13445	336702
192	13469	335488
193	13544	335545
194	13569	334368
195	13654	334663
196	13723	334586
197	13747	333421
198	13854	334237
199	13887	333305
200	13976	333706
201	14055	333863
202	14163	334683
203	14241	334825
204	14277	333946
205	14363	334273
206	14452	334631
207	14533	334829
208	14594	334560
209	14655	334280
210	14729	334312
211	14803	334333
212	14845	333641
213	14923	333756
214	14934	332383
215	15002	332279
216	15079	332370
217	15154	332417
218	15236	332635
219	15314	332746
220	15380	332604
221	15448	332480
222	15524	332548
223	15574	332062
224	15634	331795
225	15692	331497
226	15762	331418
227	15833	331399
228	15902	331311
229	15977	331360
230	16054	331441
231	16145	331822
232	16165	330736
233	16237	330718
234	16316	330837
235	16398	331025
236	16467	330957
237	16542	330984
238	16604	330776
239	16703	331287
240	16765	331072
241	16787	330056
242	16871	330272
243	16894	329302
244	16968	329331
245	17045	329414
246	17126	329558
247	17216	329888
248	17290	329898
249	17360	329856
250	17431	329808
251	17497	329676
252	17565	329587
253	17640	329605
254	17669	328787
255	17735	328669
256	17828	329038
257	17860	328272
258	17931	328229
259	18012	328383
260	18097	328603
261	18176	328703
262	18247	328671
263	18326	328758
264	18358	328020
265	18453	328408
266	18512	328164
267	18524	327085
268	18583	326828
269	18658	326868
270	18726	326776
271	18795	326717
272	18809	325681
273	18885	325744
274	18962	325806
275	19035	325802
276	19112	325880
277	19184	325865
278	19256	325850
279	19340	326032
280	19406	325901
281	19417	324864
282	19491	324880
283	19511	324008
284	19578	323908
285	19650	323893
286	19718	323811
287	19796	323899
288	19863	323789
289	19942	323897
290	19963	323055
291	20039	323095
292	20060	322276
293	20073	321313
294	20186	321958
295	20275	322216
296	20366	322499
297	20380	321571
298	20402	320769
299	20435	320149
300	20469	319554
301	20539	319516
302	20696	320830
303	20787	321107
304	20817	320452
305	20879	320294
306	20937	320062
307	20966	319397
308	21044	319478
309	21145	319911
310	21231	320108
311	21301	320075
312	21390	320306
313	21459	320252
314	21545	320453
315	21618	320452
316	21654	319903
317	21729	319927
318	21802	319924
319	21871	319869
320	21954	320011
321	22023	319961
322	22088	319837
323	22178	320084
324	22259	320193
325	22333	320200
326	22358	319509
327	22433	319543
328	22496	319401
329	22556	319215
330	22641	319369
331	22691	319041
332	22763	319031
333	22837	319037
334	22894	318820
335	23001	319276
336	23049	318928
337	23152	319334
338	23227	319360
339	23303	319400
340	23393	319617
341	23482	319835
342	23555	319815
343	23567	318979
344	23648	319082
345	23721	319070
346	23977	321517
347	24049	321485
348	24103	321222
349	24181	321267
350	24259	321310
351	24302	320902
352	24394	321136
353	24487	321385
354	24503	320616
355	24569	320511
356	24649	320582
357	24719	320519
358	24800	320615
359	24892	320830
360	24960	320747
361	25027	320652
362	25070	320253
363	25132	320098
364	25215	320202
365	25229	319435
366	25317	319613
367	25401	319724
368	25460	319536
369	25531	319492
370	25578	319144
371	25660	319242
372	25756	319507
373	25768	318726
374	25849	318816
375	25936	318963
376	26004	318884
377	26081	318907
378	26174	319139
379	26258	319246
380	26321	319110
381	26412	319299
382	26436	318691
383	26460	318073
384	26531	318027
385	26602	317995
386	26676	317981
387	26708	317474
388	26782	317461
389	26858	317476
390	26951	317696
391	27039	317854
392	27127	318002
393	27139	317266
394	27222	317367
395	27288	317264
396	27348	317095
397	27428	317156
398	27460	316660
399	27479	316014
400	27546	315920
401	27625	315973
402	27677	315711
403	27700	315126
404	27788	315275
405	27843	315056
406	27905	314913
407	27977	314882
408	28076	315158
409	28099	314578
410	28188	314735
411	28261	314719
412	28349	314860
413	28416	314781
414	28480	314654
415	28507	314134
416	28587	314189
417	28663	314205
418	28729	314103
419	28801	314069
420	28812	313377
421	28896	313478
422	28971	313476
423	29041	313423
424	29107	313329
425	29177	313281
426	29245	313209
427	29308	313080
428	29390	313151
429	29472	313227
430	29564	313415
431	29584	312823
432	29661	312855
433	29753	313032
434	29809	312827
435	29871	312687
436	29883	312032
437	29894	311370
438	29973	311413
439	30054	311470
440	30155	311740
441	30270	312153
442	30348	312181
443	30423	312182
444	30524	312450
445	30594	312394
446	30682	312517
447	30773	312684
448	30853	312725
449	30874	312177
450	30963	312313
451	31038	312312
452	31108	312251
453	31180	312215
454	31257	312235
455	31333	312239
456	31535	313489
457	31650	313882
458	31720	313822
459	31792	313781
460	31866	313753
461	31934	313677
462	31989	313470
463	32094	313753
464	32115	313217
465	32199	313293
466	32225	312800
467	32298	312766
468	32313	312183
469	32448	312749
470	32546	312954
471	32609	312834
472	32688	312854
473	32791	313110
474	32911	313527
475	33007	313713
476	33078	313660
477	33176	313853
478	33227	313611
479	33253	313141
480	33328	313122
481	33348	312586
482	33414	312494
483	33482	312409
484	33561	312432
485	33623	312296
486	33696	312266
487	33774	312272
488	33832	312098
489	33844	311509
490	33936	311645
491	34019	311706
492	34089	311647
493	34117	311200
494	34201	311272
495	34269	311185
496	34335	311090
497	34418	311150
498	34504	311232
499	34623	311612
500	34784	312364
501	34874	312481
502	34948	312453
503	34964	311901
504	35104	312464
505	35274	313289
506	35402	313735
507	35485	313780
508	35658	314619
509	35776	314969
510	35878	315182
511	36011	315666
512	36166	316334
513	36238	316277
514	36303	316157
515	36570	317796
516	36589	317272
517	36663	317233
518	36750	317296
519	36856	317534
520	36965	317787
521	37014	317530
522	37036	317041
523	37049	316472
524	37140	316581
525	37237	316728
526	37340	316932
527	37402	316791
528	37413	316214
529	37487	316171
530	37573	316229
531	37647	316179
532	37735	316255
533	37775	315930
534	37853	315917
535	37948	316045
536	38025	316030
537	38120	316159
538	38219	316317
539	38287	316222
540	38393	316446
541	38497	316644
542	38599	316824
543	38721	317174
544	38855	317617
545	38944	317686
546	39043	317846
547	39194	318417
548	39351	319039
549	39503	319621
550	39544	319298
551	39652	319520
552	39765	319774
553	39849	319804
554	39932	319819
555	40029	319946
556	40106	319917
557	40191	319948
558	40265	319891
559	40363	320028
560	40461	320158
561	40607	320667
562	40694	320710
563	40794	320862
564	40914	321160
565	41065	321701
566	41076	321149
567	41193	321422
568	41347	321989
569	41410	321843
570	41481	321756
571	41560	321726
572	41634	321671
573	41713	321643
574	41793	321628
575	41875	321625
576	41962	321662
577	42050	321705
578	42138	321752
579	42221	321758
580	42291	321664
581	42392	321802
582	42487	321895
583	42519	321515
584	42659	321954
585	42750	322016
586	42817	321894
587	42928	322110
588	43037	322305
589	43137	322437
590	43217	322413
591	43310	322487
592	43385	322427
593	43460	322372
594	43531	322279
595	43596	322143
596	43681	322159
597	43794	322379
598	43878	322382
599	43971	322458
600	44042	322368
601	44111	322266
602	44194	322263
603	44281	322286
604	44409	322607
605	44481	322531
606	44558	322480
607	44648	322527
608	44736	322558
609	44816	322531
610	44893	322483
611	44990	322578
612	45048	322395
613	45132	322398
614	45205	322320
615	45292	322337
616	45389	322434
617	45507	322674
618	45594	322694
619	45686	322753
620	45771	322761
621	45865	322828
622	45948	322816
623	46047	322922
624	46169	323183
625	46257	323212
626	46341	323208
627	46446	323352
628	46545	323450
629	46618	323371
630	46699	323342
631	46768	323237
632	46856	323258
633	46950	323320
634	47037	323336
635	47197	323850
636	47381	324530
637	47513	324849
638	47610	324931
639	47683	324844
640	47757	324764
641	47824	324638
642	47907	324625
643	47991	324610
644	48074	324597
645	48151	324535
646	48234	324519
647	48267	324167
648	48358	324205
649	48468	324369
650	48535	324239
651	48599	324095
652	48666	323972
653	48756	324000
654	48848	324038
655	48938	324071
656	49034	324132
657	49129	324197
658	49202	324111
659	49269	323984
660	49363	324035
661	49457	324088
662	49535	324036
663	49625	324058
664	49700	323988
665	49773	323899
666	49854	323866
667	49941	323869
668	50012	323773
669	50098	323773
670	50186	323779
671	50268	323755
672	50371	323856
673	50453	323828
674	50527	323749
675	50598	323653
676	50674	323583
677	50757	323562
678	50845	323569
679	50924	323518
680	51000	323451
681	51077	323389
682	51143	323261
683	51219	323194
684	51287	323072
685	51364	323014
686	51465	323103
687	51539	323019
688	51625	323014
689	51715	323032
690	51792	322971
691	51886	323016
692	51976	323031
693	52051	322958
694	52123	322866
695	52201	322809
696	52285	322788
697	52348	322639
698	52424	322570
699	52510	322565
700	52581	322462
701	52667	322457
702	52729	322302
703	52806	322242
704	52877	322140
705	52962	322126
706	53049	322123
707	53137	322129
708	53240	322220
709	53330	322233
710	53463	322513
711	53522	322335
712	53617	322381
713	53701	322361
714	53782	322317
715	53864	322283
716	53934	322179
717	54023	322185
718	54115	322207
719	54194	322154
720	54278	322130
721	54350	322038
722	54425	321963
723	54518	321992
724	54603	321970
725	54685	321939
726	54767	321902
727	54845	321839
728	54940	321882
729	55019	321829
730	55116	321880
731	55201	321857
732	55269	321739
733	55355	321723
734	55442	321717
735	55535	321741
736	55617	321706
737	55705	321700
738	55787	321665
739	55890	321747
740	55969	321693
741	56073	321778
742	56163	321786
743	56251	321781
744	56337	321768
745	56402	321632
746	56494	321647
747	56575	321605
748	56655	321554
749	56720	321416
750	56812	321433
751	56888	321362
752	56970	321318
753	57067	321363
754	57175	321470
755	57255	321418
756	57354	321472
757	57454	321530
758	57555	321595
759	57648	321616
760	57736	321609
761	57845	321715
762	57918	321624
763	58040	321806
764	58185	322110
765	58265	322057
766	58401	322311
767	58485	322276
768	58600	322416
769	58685	322389
770	58766	322339
771	58835	322224
772	58914	322161
773	59091	322634
774	59216	322826
775	59340	323009
776	59433	323023
777	59629	323590
778	59769	323858
779	59869	323907
780	60002	324139
781	60084	324088
782	60164	324025
783	60296	324246
784	60407	324352
785	60513	324431
